id,texto,usuario,hashtags,fecha,retweets,favoritos,TextBlob_Polarity,TextBlob_Analysis,temp_list,temp_list1
15,"Artificial intelligence is increasingly present in our lives, but do we really know how it works?In our last article we explain everything about this technology.#Antificial #ia #ia",tecnologíainfo,"['inteligenciaartificial', 'IA']",2023-03-11 15:20:00,34,93,-0.09999999999999999,Negative,"['Artificial', 'intelligence', 'increasingly', 'present', 'lives,', 'really', 'know', 'works?In', 'last', 'article', 'explain', 'everything', 'technology.#Antificial', '#ia', '#ia']","['Artificial', 'intelligence', 'increasingly', 'present', 'lives,', 'really', 'know', 'works?In', 'last', 'article', 'explain', 'everything', 'technology.#Antificial', '#ia', '#ia']"
16,Blockchain technology is revolutionizing the way in which financial transactions are made.Discover everything you need to know about this technology in our last article.#BLOCKCHAIN #CRIPTOMONEDAS,criptoinfo,"['blockchain', 'criptomonedas']",2023-03-12 09:45:00,51,189,0.0,Neutral,"['Blockchain', 'technology', 'revolutionizing', 'way', 'financial', 'transactions', 'made.Discover', 'everything', 'need', 'know', 'technology', 'last', 'article.#BLOCKCHAIN', '#CRIPTOMONEDAS']","['Blockchain', 'technology', 'revolutionizing', 'way', 'financial', 'transactions', 'made.Discover', 'everything', 'need', 'know', 'technology', 'last', 'article.#BLOCKCHAIN', '#CRIPTOMONEDAS']"
17,Advances in technology allow creating more and more sophisticated and precise prostheses.In our last article we talk about some of the most innovative developments in this field.#Prosthesis #Technology,innovatech,"['prótesis', 'tecnología']",2023-03-12 14:15:00,23,64,0.41428571428571426,Positive,"['Advances', 'technology', 'allow', 'creating', 'sophisticated', 'precise', 'prostheses.In', 'last', 'article', 'talk', 'innovative', 'developments', 'field.#Prosthesis', '#Technology']","['Advances', 'technology', 'allow', 'creating', 'sophisticated', 'precise', 'prostheses.In', 'last', 'article', 'talk', 'innovative', 'developments', 'field.#Prosthesis', '#Technology']"
18,Increased reality technology is becoming an indispensable tool for fashion designers.Discover how this technology is being used in our last article.#Raulted #Moda,fashiontech,"['realidadaumentada', 'moda']",2023-03-13 11:00:00,45,167,0.2833333333333334,Positive,"['Increased', 'reality', 'technology', 'becoming', 'indispensable', 'tool', 'fashion', 'designers.Discover', 'technology', 'used', 'last', 'article.#Raulted', '#Moda']","['Increased', 'reality', 'technology', 'becoming', 'indispensable', 'tool', 'fashion', 'designers.Discover', 'technology', 'used', 'last', 'article.#Raulted', '#Moda']"
19,"Facial recognition technology is being used in many areas, but is it really sure?In our last article we analyze the risks of this technology and how they can be mitigated.#Facial Recognition #Segury",seguridadtech,"['reconocimientofacial', 'seguridad']",2023-03-13 15:30:00,87,312,0.175,Positive,"['Facial', 'recognition', 'technology', 'used', 'many', 'areas,', 'really', 'sure?In', 'last', 'article', 'analyze', 'risks', 'technology', 'mitigated.#Facial', 'Recognition', '#Segury']","['Facial', 'recognition', 'technology', 'used', 'many', 'areas,', 'really', 'sure?In', 'last', 'article', 'analyze', 'risks', 'technology', 'mitigated.#Facial', 'Recognition', '#Segury']"
20,5G technology is revolutionizing the way we connect to the Internet.In our last article we explain everything you need to know about this new technology.#Technology5G #Internet,conexiónveloz,"['tecnología5G', 'internet']",2023-03-14 10:00:00,75,245,0.06818181818181818,Positive,"['5G', 'technology', 'revolutionizing', 'way', 'connect', 'Internet.In', 'last', 'article', 'explain', 'everything', 'need', 'know', 'new', 'technology.#Technology5G', '#Internet']","['5G', 'technology', 'revolutionizing', 'way', 'connect', 'Internet.In', 'last', 'article', 'explain', 'everything', 'need', 'know', 'new', 'technology.#Technology5G', '#Internet']"
21,Cloud technology has transformed the way we store and share information.In our last article we explain everything you need to know about this technology.#Technology of the #Almacement,cloudtech,"['tecnologíadelanube', 'almacenamiento']",2023-03-14 14:30:00,40,132,0.0,Neutral,"['Cloud', 'technology', 'transformed', 'way', 'store', 'share', 'information.In', 'last', 'article', 'explain', 'everything', 'need', 'know', 'technology.#Technology', '#Almacement']","['Cloud', 'technology', 'transformed', 'way', 'store', 'share', 'information.In', 'last', 'article', 'explain', 'everything', 'need', 'know', 'technology.#Technology', '#Almacement']"
22,Virtual reality technology is transforming the way we experience entertainment.In our last article we tell you everything you need to know about this technology.#Soidad Virtual #Entrenemimiento,entertech,"['realidadvirtual', 'entretenimiento']",2023-03-15 09:15:00,52,189,0.0,Neutral,"['Virtual', 'reality', 'technology', 'transforming', 'way', 'experience', 'entertainment.In', 'last', 'article', 'tell', 'everything', 'need', 'know', 'technology.#Soidad', 'Virtual', '#Entrenemimiento']","['Virtual', 'reality', 'technology', 'transforming', 'way', 'experience', 'entertainment.In', 'last', 'article', 'tell', 'everything', 'need', 'know', 'technology.#Soidad', 'Virtual', '#Entrenemimiento']"
23,"Drones technology is being used in many areas, from the delivery of packages to surveillance.In our last article we explain everything you need to know about this technology.#Drones #Technology",dronetech,"['drones', 'tecnología']",2023-03-15 15:00:00,29,96,0.25,Positive,"['Drones', 'technology', 'used', 'many', 'areas,', 'delivery', 'packages', 'surveillance.In', 'last', 'article', 'explain', 'everything', 'need', 'know', 'technology.#Drones', '#Technology']","['Drones', 'technology', 'used', 'many', 'areas,', 'delivery', 'packages', 'surveillance.In', 'last', 'article', 'explain', 'everything', 'need', 'know', 'technology.#Drones', '#Technology']"
24,Artificial intelligence technology is transforming the way companies make decisions.In our last article we tell you everything you need to know about this technology.#Artificial #empresas,businessai,"['inteligenciaartificial', 'empresas']",2023-03-16 11:20:00,62,215,-0.3,Negative,"['Artificial', 'intelligence', 'technology', 'transforming', 'way', 'companies', 'make', 'decisions.In', 'last', 'article', 'tell', 'everything', 'need', 'know', 'technology.#Artificial', '#empresas']","['Artificial', 'intelligence', 'technology', 'transforming', 'way', 'companies', 'make', 'decisions.In', 'last', 'article', 'tell', 'everything', 'need', 'know', 'technology.#Artificial', '#empresas']"
25,Biometry technology is being used to improve safety in many areas.In our last article we explain everything you need to know about this technology.#Biometry #Segury,biotech,"['biometría', 'seguridad']",2023-03-16 16:45:00,47,176,0.25,Positive,"['Biometry', 'technology', 'used', 'improve', 'safety', 'many', 'areas.In', 'last', 'article', 'explain', 'everything', 'need', 'know', 'technology.#Biometry', '#Segury']","['Biometry', 'technology', 'used', 'improve', 'safety', 'many', 'areas.In', 'last', 'article', 'explain', 'everything', 'need', 'know', 'technology.#Biometry', '#Segury']"
